Timestamp,Rainfall (mm),Total Rainfall (mm),Atmospheric Temperature (°C),Wind Direction,Average Wind Speed  (km/h),Wind Gust  (km/h),MSL Pressure (hPa),Average Humidity (%),Atmospheric Pressure (hPa),Average Delta T (°C),Average Dew Point (°C),AverageSolarRadiation (W/m2),Average Wet Bulb (°C),Average Wind Direction (°),Min Wind Speed  (km/h),Device ID
2026-08-06T03:55:08Z,0.00,331.80,29.81,S,0.00,0.00,1008.30,74.90,1008.30,3.64,24.87,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T03:37:49Z,0.00,331.80,28.95,S,0.00,0.00,1008.50,78.21,1008.50,3.09,24.77,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T03:20:41Z,0.00,331.80,28.73,S,0.00,0.00,1008.70,78.89,1008.70,2.98,24.70,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T03:03:22Z,0.00,331.80,28.67,S,0.00,0.00,1008.70,80.56,1008.70,2.73,24.99,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T02:46:13Z,0.00,331.80,28.29,S,0.00,0.00,1008.70,81.05,1008.70,2.65,24.72,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T02:29:04Z,0.00,331.80,28.20,S,0.00,0.00,1008.60,79.99,1008.60,2.80,24.41,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T02:10:45Z,0.00,331.80,28.05,S,0.00,0.00,1008.90,81.28,1008.90,2.61,24.54,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T01:53:37Z,0.00,331.80,27.86,S,0.00,0.00,1008.90,81.29,1008.90,2.60,24.35,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T01:36:29Z,0.00,331.80,27.63,WSW,0.65,1.98,1008.80,82.51,1008.80,2.41,24.38,0.00,0.00,255.00,0.00,79DAAFB4
2026-08-06T01:19:10Z,0.00,331.80,27.99,S,0.00,0.00,1009.00,81.95,1009.00,2.51,24.61,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T01:01:51Z,0.00,331.80,29.44,S,0.00,0.00,1008.90,86.25,1008.90,1.92,26.90,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T00:44:43Z,0.00,331.80,29.35,S,0.00,0.00,1008.40,84.56,1008.40,2.17,26.47,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T00:27:23Z,0.00,331.80,29.32,S,0.00,0.00,1008.20,84.42,1008.20,2.19,26.41,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-06T00:10:14Z,0.00,331.80,28.87,S,0.00,0.00,1008.00,85.72,1008.00,1.99,26.23,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-05T23:53:06Z,0.00,331.80,28.73,S,0.00,0.00,1007.90,85.84,1007.90,1.96,26.12,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-05T23:35:57Z,0.00,331.80,28.74,S,0.00,0.00,1007.70,85.72,1007.70,1.98,26.11,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-05T23:18:33Z,0.00,331.80,28.63,S,0.00,0.00,1007.40,85.67,1007.40,1.99,25.99,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-05T23:01:25Z,0.00,331.80,28.46,S,0.00,0.00,1007.40,85.94,1007.40,1.94,25.87,0.00,0.00,180.00,0.00,79DAAFB4
2026-08-05T22:44:17Z,0.00,331.80,28.46,S,0.00,0.00,1007.30,85.53,1007.30,2.00,25.79,0.00,0.00,180.00,0.00,79DAAFB4
